stem,question_num,answer_num,participant_num,image_path,question_he,question_en,full_prompt,vlm_raw_answer_en,used_fallback,fallback_prompt,vlm_answer_en,vlm_answer_he,subject_answer_he,similarity,similarity_percent,comparison_method,subject_answer_en,similarity_labse_he,similarity_labse_he_percent,similarity_en,similarity_en_percent,bertscore_precision,bertscore_recall,bertscore_f1,vlm_model,embed_model,he_en_model,en_he_model,device,timestamp
10_1_11,10,1,11,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people,False,,This image shows the faces of different people,תמונה זו מראה את פניהם של אנשים שונים,השינוי ניכר לעין,0.3819608986377716,38.2,multilingual semantic embedding cosine similarity,The change is apparent,0.29711028933525085,29.71,0.24594342708587646,24.59,0.8774,0.898,0.8876,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:24:37
10_1_14,10,1,14,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people,False,,This image shows the faces of different people,תמונה זו מראה את פניהם של אנשים שונים,אבולציה של אנשים,0.4714159369468689,47.14,multilingual semantic embedding cosine similarity,People's Evolution,0.2544959783554077,25.45,0.3304476737976074,33.04,0.8706,0.8883,0.8793,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:24:44
10_1_21,10,1,21,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people,False,,This image shows the faces of different people,תמונה זו מראה את פניהם של אנשים שונים,קצב היזדקנות של בן אדם,0.5552654266357422,55.53,multilingual semantic embedding cosine similarity,A person's ageing rate,0.09561656415462494,9.56,0.3592984080314636,35.93,0.8872,0.8935,0.8903,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:24:48
10_1_22,10,1,22,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people,False,,This image shows the faces of different people,תמונה זו מראה את פניהם של אנשים שונים,כי רואים את השינוי וההתפתחות של האדם,0.5165764689445496,51.66,multilingual semantic embedding cosine similarity,Because one sees the change and development of the human being.,0.35388264060020447,35.39,0.35434490442276,35.43,0.8741,0.8852,0.8796,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:24:53
10_1_24,10,1,24,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people,False,,This image shows the faces of different people,תמונה זו מראה את פניהם של אנשים שונים,האדם הולך וגדל,0.5785313844680786,57.85,multilingual semantic embedding cosine similarity,The man is growing,0.14104527235031128,14.1,0.16370674967765808,16.37,0.867,0.8819,0.8744,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:25:01
10_1_26,10,1,26,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people,False,,This image shows the faces of different people,תמונה זו מראה את פניהם של אנשים שונים,האדם מתבגר ועובר שינויים,0.56817626953125,56.82,multilingual semantic embedding cosine similarity,People grow up and go through changes.,0.2805931866168976,28.06,0.3426189720630646,34.26,0.8708,0.8693,0.8701,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:25:13
10_1_36,10,1,36,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people,False,,This image shows the faces of different people,תמונה זו מראה את פניהם של אנשים שונים,כל דור והקשיים שלו זה משתנה גם במראה,0.43675246834754944,43.68,multilingual semantic embedding cosine similarity,Every generation and its difficulties It also changes in appearance,0.2704692482948303,27.05,0.39329856634140015,39.33,0.8694,0.844,0.8565,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:25:22
10_1_37,10,1,37,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people,False,,This image shows the faces of different people,תמונה זו מראה את פניהם של אנשים שונים,אנחנו גדלים ומשתנים.,0.3904963731765747,39.05,multilingual semantic embedding cosine similarity,We grow and change.,0.18984317779541016,18.98,0.15376873314380646,15.38,0.8675,0.8867,0.877,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:25:32
10_1_49,10,1,49,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people,False,,This image shows the faces of different people,תמונה זו מראה את פניהם של אנשים שונים,כי ברגע שמזדקנים אין דרך חזרה להיות צעיר,0.3809581995010376,38.1,multilingual semantic embedding cosine similarity,Because once you get old there's no going back to being young.,0.21358126401901245,21.36,0.23319339752197266,23.32,0.8645,0.8427,0.8534,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:25:38
10_1_52,10,1,52,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people,False,,This image shows the faces of different people,תמונה זו מראה את פניהם של אנשים שונים,התמונה הזו ממחישה בצורה ישירה וברורה את רעיון השינוי,0.6001946330070496,60.02,multilingual semantic embedding cosine similarity,This image directly and clearly illustrates the idea of change,0.6103872656822205,61.04,0.45160773396492004,45.16,0.9177,0.902,0.9098,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:25:45
