stem,question_num,answer_num,participant_num,image_path,question_he,question_en,dimension_id,dimension_confidence,full_prompt,vlm_raw_answer_en,used_fallback,fallback_prompt,vlm_answer_en,vlm_answer_he,subject_answer_he,similarity,similarity_percent,comparison_method,subject_answer_en,similarity_labse_he,similarity_labse_he_percent,similarity_en,similarity_en_percent,bertscore_precision,bertscore_recall,bertscore_f1,vlm_model,embed_model,he_en_model,en_he_model,device,timestamp
10_1_11,10,1,11,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old,False,,the image shows a progression of stages from young to old,התמונה מראה התקדמות של שלבים מגיל צעיר ועד זקן,השינוי ניכר לעין,0.4771653413772583,47.72,multilingual semantic embedding cosine similarity,The change is apparent,0.27391719818115234,27.39,0.364497572183609,36.45,0.8642,0.893,0.8783,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:00:47
10_1_14,10,1,14,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old,False,,the image shows a progression of stages from young to old,התמונה מראה התקדמות של שלבים מגיל צעיר ועד זקן,אבולציה של אנשים,0.46916547417640686,46.92,multilingual semantic embedding cosine similarity,People's Evolution,0.05534657835960388,5.53,0.44086140394210815,44.09,0.8453,0.8649,0.855,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:00:55
10_1_21,10,1,21,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old,False,,the image shows a progression of stages from young to old,התמונה מראה התקדמות של שלבים מגיל צעיר ועד זקן,קצב היזדקנות של בן אדם,0.6376752853393555,63.77,multilingual semantic embedding cosine similarity,A person's ageing rate,0.29061025381088257,29.06,0.5932121276855469,59.32,0.867,0.8886,0.8777,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:01:01
10_1_22,10,1,22,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old,False,,the image shows a progression of stages from young to old,התמונה מראה התקדמות של שלבים מגיל צעיר ועד זקן,כי רואים את השינוי וההתפתחות של האדם,0.596479058265686,59.65,multilingual semantic embedding cosine similarity,Because one sees the change and development of the human being.,0.4416440725326538,44.16,0.4316767156124115,43.17,0.8677,0.883,0.8753,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:01:07
10_1_24,10,1,24,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old,False,,the image shows a progression of stages from young to old,התמונה מראה התקדמות של שלבים מגיל צעיר ועד זקן,האדם הולך וגדל,0.5686607956886292,56.87,multilingual semantic embedding cosine similarity,The man is growing,0.27366548776626587,27.37,0.38783761858940125,38.78,0.8532,0.8694,0.8612,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:01:13
10_1_26,10,1,26,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old,False,,the image shows a progression of stages from young to old,התמונה מראה התקדמות של שלבים מגיל צעיר ועד זקן,האדם מתבגר ועובר שינויים,0.6930533051490784,69.31,multilingual semantic embedding cosine similarity,People grow up and go through changes.,0.40444496273994446,40.44,0.49448859691619873,49.45,0.857,0.8641,0.8605,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:01:18
10_1_36,10,1,36,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old,False,,the image shows a progression of stages from young to old,התמונה מראה התקדמות של שלבים מגיל צעיר ועד זקן,כל דור והקשיים שלו זה משתנה גם במראה,0.6196587085723877,61.97,multilingual semantic embedding cosine similarity,Every generation and its difficulties It also changes in appearance,0.3208354115486145,32.08,0.5333782434463501,53.34,0.8614,0.8405,0.8508,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:01:24
10_1_37,10,1,37,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old,False,,the image shows a progression of stages from young to old,התמונה מראה התקדמות של שלבים מגיל צעיר ועד זקן,אנחנו גדלים ומשתנים.,0.5303582549095154,53.04,multilingual semantic embedding cosine similarity,We grow and change.,0.2632024884223938,26.32,0.37417227029800415,37.42,0.8577,0.8853,0.8713,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:01:30
10_1_49,10,1,49,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old,False,,the image shows a progression of stages from young to old,התמונה מראה התקדמות של שלבים מגיל צעיר ועד זקן,כי ברגע שמזדקנים אין דרך חזרה להיות צעיר,0.5819282531738281,58.19,multilingual semantic embedding cosine similarity,Because once you get old there's no going back to being young.,0.382912278175354,38.29,0.5006770491600037,50.07,0.8726,0.8594,0.8659,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:01:36
10_1_52,10,1,52,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old,False,,the image shows a progression of stages from young to old,התמונה מראה התקדמות של שלבים מגיל צעיר ועד זקן,התמונה הזו ממחישה בצורה ישירה וברורה את רעיון השינוי,0.5058990716934204,50.59,multilingual semantic embedding cosine similarity,This image directly and clearly illustrates the idea of change,0.5332081317901611,53.32,0.42049741744995117,42.05,0.8841,0.8965,0.8902,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:01:42
