,אחוז חשיבה מערכתית
Test 1,70.59
Test 2,65.00
Test 3,57.14
Test 4,61.90
Test 5,53.57
Test 6,61.54
Test 7,69.57
Test 8,65.22
Test 9,61.90
Test 10,66.67
Test 11,70.83
Test 12,66.67
Test 13,66.67
Test 14,83.33
Test 15,72.73
Test 16,54.55
Test 17,75.00
Test 18,65.00
Test 19,70.00
Test 20,70.83
Test 21,75.00
Test 22,66.67
Test 23,71.43
Test 24,75.00
Test 25,66.67
Test 26,72.73
Test 27,84.00
Test 28,63.64
Test 29,66.67
Test 30,56.52
Test 31,55.56
Test 32,70.00
Test 33,52.94
Test 34,33.33
Test 35,68.00
Test 36,72.22
Test 37,68.18
Test 38,36.84
Test 39,60.87
Test 40,63.64
Test 41,76.19
Test 42,66.67
Test 43,58.33
Test 44,68.42
Test 45,84.21
Test 46,66.67
Test 47,60.00
Test 48,65.22
Test 49,72.73
Test 50,72.22
Test 51,53.85
Test 52,75.00
Test 53,68.00
Test 54,86.36
Test 55,42.86
Test 56,51.85
Test 57,78.26
Test 58,70.00
Test 59,66.67
Test 60,69.23
Test 61,73.08
Test 62,75.00
Test 63,70.83
Test 64,65.22
Test 65,80.95
Test 66,66.67
Test 67,52.38
Test 68,77.78
Test 69,76.92
Test 70,72.73
Test 71,50.00
