subject_id,questionnaire_1_score,image_questionnaire_score_vec_both,image_answer_rows,image_questions_answered,has_questionnaire_1,has_image_questionnaire
1,70.59,0.35025,2.0,2.0,True,True
2,65.0,,,,True,False
3,57.14,,,,True,False
4,61.9,0.10754285714285715,7.0,7.0,True,True
5,53.57,0.3501,8.0,8.0,True,True
6,61.54,,,,True,False
7,69.57,,,,True,False
8,65.22,0.48721428571428577,7.0,7.0,True,True
9,61.9,,,,True,False
10,66.67,,,,True,False
11,70.83,0.35431,10.0,10.0,True,True
12,66.67,,,,True,False
13,66.67,0.31405714285714287,7.0,7.0,True,True
14,83.33,0.39144,10.0,10.0,True,True
15,72.73,0.40609,10.0,10.0,True,True
16,54.55,0.2767,10.0,10.0,True,True
17,75.0,0.56945,2.0,2.0,True,True
18,65.0,0.35554,10.0,10.0,True,True
19,70.0,0.39544,10.0,10.0,True,True
20,70.83,0.39807000000000003,10.0,10.0,True,True
21,75.0,0.36553,10.0,10.0,True,True
22,66.67,0.42834000000000005,10.0,10.0,True,True
23,71.43,0.41818999999999995,10.0,10.0,True,True
24,75.0,0.40072,10.0,10.0,True,True
25,66.67,0.3196142857142857,7.0,7.0,True,True
26,72.73,0.41784,10.0,10.0,True,True
27,84.0,0.40522,10.0,10.0,True,True
28,63.64,0.31345,10.0,10.0,True,True
29,66.67,0.2294,10.0,10.0,True,True
30,56.52,0.39044,5.0,5.0,True,True
31,55.56,0.3246777777777778,9.0,9.0,True,True
32,70.0,0.37146,10.0,10.0,True,True
33,52.94,0.5351833333333333,6.0,6.0,True,True
34,33.33,0.40736,10.0,10.0,True,True
35,68.0,0.45109000000000005,10.0,10.0,True,True
36,72.22,0.38613,10.0,10.0,True,True
37,68.18,0.36819999999999997,10.0,10.0,True,True
38,36.84,0.24606,5.0,5.0,True,True
39,60.87,0.30418,10.0,10.0,True,True
40,63.64,0.3543,5.0,5.0,True,True
41,76.19,0.45097000000000004,10.0,10.0,True,True
42,66.67,0.2133625,8.0,8.0,True,True
43,58.33,0.44747000000000003,10.0,10.0,True,True
44,68.42,0.33635000000000004,10.0,10.0,True,True
45,84.21,0.4262714285714285,7.0,7.0,True,True
46,66.67,0.48478000000000004,10.0,10.0,True,True
47,60.0,0.46459,10.0,10.0,True,True
48,65.22,0.4001166666666667,6.0,6.0,True,True
49,72.73,0.49887,10.0,10.0,True,True
50,72.22,0.26884,10.0,10.0,True,True
51,53.85,0.1258,1.0,1.0,True,True
52,75.0,0.38023,10.0,10.0,True,True
53,68.0,0.23731999999999998,10.0,10.0,True,True
54,86.36,0.51485,10.0,10.0,True,True
55,42.86,0.39716666666666667,3.0,3.0,True,True
56,51.85,0.58212,10.0,10.0,True,True
57,78.26,0.26105999999999996,10.0,10.0,True,True
58,70.0,0.60818,10.0,10.0,True,True
59,66.67,0.55275,10.0,10.0,True,True
60,69.23,0.36156,10.0,10.0,True,True
61,73.08,0.4775888888888889,9.0,9.0,True,True
62,75.0,0.3654,10.0,10.0,True,True
63,70.83,0.57444,10.0,10.0,True,True
64,65.22,0.30257,10.0,10.0,True,True
65,80.95,,,,True,False
66,66.67,,,,True,False
67,52.38,0.16931428571428572,7.0,7.0,True,True
68,77.78,0.233925,8.0,8.0,True,True
69,76.92,0.47664,10.0,10.0,True,True
70,72.73,0.40254,10.0,10.0,True,True
71,50.0,0.32363,10.0,10.0,True,True
