subject,question,answer,reason,raw_option,raw_text
1,2,2,missing_text,"אפשרות 2",""
1,4,2,missing_text,"אפשרות 2",""
1,5,4,missing_text,"אפשרות 4",""
1,6,2,missing_text,"אפשרות 2",""
1,7,2,missing_text,"אפשרות 2",""
1,8,2,missing_text,"אפשרות 2",""
1,9,2,missing_text,"אפשרות 2",""
1,10,3,missing_text,"אפשרות 3",""
2,1,3,missing_text,"אפשרות 3",""
2,2,2,missing_text,"אפשרות 2",""
2,3,3,missing_text,"אפשרות 3",""
2,4,2,missing_text,"אפשרות 2",""
2,5,4,missing_text,"אפשרות 4",""
2,6,2,missing_text,"אפשרות 2",""
2,7,4,missing_text,"אפשרות 4",""
2,8,4,missing_text,"אפשרות 4",""
2,9,2,missing_text,"אפשרות 2",""
2,10,3,missing_text,"אפשרות 3",""
3,1,4,missing_text,"אפשרות 4",""
3,2,3,missing_text,"אפשרות 3",""
3,3,2,missing_text,"אפשרות 2",""
3,4,2,missing_text,"אפשרות 2",""
3,5,1,missing_text,"אפשרות 1",""
3,6,2,missing_text,"אפשרות 2",""
3,7,1,missing_text,"אפשרות 1",""
3,8,3,missing_text,"אפשרות 3",""
3,9,2,missing_text,"אפשרות 2",""
3,10,2,missing_text,"אפשרות 2",""
4,8,1,missing_text,"אפשרות 1",""
4,9,2,missing_text,"אפשרות 2",""
4,10,1,missing_text,"אפשרות 1",""
5,4,2,missing_text,"אפשרות 2",""
5,8,3,missing_text,"אפשרות 3",""
6,1,1,missing_text,"אפשרות 1",""
6,2,2,missing_text,"אפשרות 2",""
6,3,2,missing_text,"אפשרות 2",""
6,4,4,missing_text,"אפשרות 4",""
6,5,2,missing_text,"אפשרות 2",""
6,6,2,missing_text,"אפשרות 2",""
6,7,4,missing_text,"אפשרות 4",""
6,8,4,missing_text,"אפשרות 4",""
6,9,2,missing_text,"אפשרות 2",""
6,10,4,missing_text,"אפשרות 4",""
7,1,4,missing_text,"אפשרות 4",""
7,2,2,missing_text,"אפשרות 2",""
7,3,2,missing_text,"אפשרות 2",""
7,4,2,missing_text,"אפשרות 2",""
7,5,3,missing_text,"אפשרות 3",""
7,6,2,missing_text,"אפשרות 2",""
7,7,1,missing_text,"אפשרות 1",""
7,8,1,missing_text,"אפשרות 1",""
7,9,2,missing_text,"אפשרות 2",""
7,10,2,missing_text,"אפשרות 2",""
8,8,,missing_option,"","כשאני רואה מאקרו אני רואה תמונה שלמה"
8,9,1,missing_text,"אפשרות 1",""
8,10,,missing_option;missing_text,"",""
9,1,2,missing_text,"אפשרות 2",""
9,2,2,missing_text,"אפשרות 2",""
9,3,4,missing_text,"אפשרות 4",""
9,4,2,missing_text,"אפשרות 2",""
9,5,2,missing_text,"אפשרות 2",""
9,6,2,missing_text,"אפשרות 2",""
9,7,1,missing_text,"אפשרות 1",""
9,8,2,missing_text,"אפשרות 2",""
9,9,2,missing_text,"אפשרות 2",""
9,10,2,missing_text,"אפשרות 2",""
10,1,4,missing_text,"אפשרות 4",""
10,2,2,missing_text,"אפשרות 2",""
10,3,4,missing_text,"אפשרות 4",""
10,4,2,missing_text,"אפשרות 2",""
10,5,2,missing_text,"אפשרות 2",""
10,6,2,missing_text,"אפשרות 2",""
10,7,1,missing_text,"אפשרות 1",""
10,8,2,missing_text,"אפשרות 2",""
10,9,2,missing_text,"אפשרות 2",""
10,10,1,missing_text,"אפשרות 1",""
12,1,4,missing_text,"אפשרות 4",""
12,2,2,missing_text,"אפשרות 2",""
12,3,4,missing_text,"אפשרות 4",""
12,4,1,missing_text,"אפשרות 1",""
12,5,4,missing_text,"אפשרות 4",""
12,6,2,missing_text,"אפשרות 2",""
12,7,1,missing_text,"אפשרות 1",""
12,8,3,missing_text,"אפשרות 3",""
12,9,2,missing_text,"אפשרות 2",""
12,10,2,missing_text,"אפשרות 2",""
13,7,1,missing_text,"אפשרות 1",""
13,9,2,missing_text,"אפשרות 2",""
13,10,2,missing_text,"אפשרות 2",""
17,1,,missing_option,"","שום תמונה לא מרגישה לי מתאימה"
17,3,,missing_option;missing_text,"",""
17,4,,missing_option;missing_text,"",""
17,5,,missing_option;missing_text,"",""
17,6,3,missing_text,"אפשרות 3",""
17,7,1,missing_text,"אפשרות 1",""
17,8,4,missing_text,"אפשרות 4",""
17,9,1,missing_text,"אפשרות 1",""
25,3,1,missing_text,"אפשרות 1",""
25,6,2,missing_text,"אפשרות 2",""
25,7,3,missing_text,"אפשרות 3",""
30,6,2,missing_text,"אפשרות 2",""
30,7,1,missing_text,"אפשרות 1",""
30,8,2,missing_text,"אפשרות 2",""
30,9,2,missing_text,"אפשרות 2",""
30,10,2,missing_text,"אפשרות 2",""
31,1,3,missing_text,"אפשרות 3",""
33,7,1,missing_text,"אפשרות 1",""
33,8,4,missing_text,"אפשרות 4",""
33,9,2,missing_text,"אפשרות 2",""
33,10,1,missing_text,"אפשרות 1",""
38,4,4,missing_text,"אפשרות 4",""
38,5,1,missing_text,"אפשרות 1",""
38,6,3,missing_text,"אפשרות 3",""
38,7,1,missing_text,"אפשרות 1",""
38,8,1,missing_text,"אפשרות 1",""
40,6,,missing_option;missing_text,"",""
40,7,,missing_option;missing_text,"",""
40,8,,missing_option;missing_text,"",""
40,9,,missing_option;missing_text,"",""
40,10,,missing_option;missing_text,"",""
42,5,,missing_option;missing_text,"",""
42,9,2,missing_text,"אפשרות 2",""
45,3,2,missing_text,"אפשרות 2",""
45,9,1,missing_text,"אפשרות 1",""
45,10,2,missing_text,"אפשרות 2",""
48,7,3,missing_text,"אפשרות 3",""
48,8,3,missing_text,"אפשרות 3",""
48,9,3,missing_text,"אפשרות 3",""
48,10,,missing_option,"","לא ידעתי במה לבחור."
51,1,3,missing_text,"אפשרות 3",""
51,2,2,missing_text,"אפשרות 2",""
51,4,4,missing_text,"אפשרות 4",""
51,5,4,missing_text,"אפשרות 4",""
51,6,2,missing_text,"אפשרות 2",""
51,7,4,missing_text,"אפשרות 4",""
51,8,3,missing_text,"אפשרות 3",""
51,9,3,missing_text,"אפשרות 3",""
51,10,1,missing_text,"אפשרות 1",""
55,4,1,missing_text,"אפשרות 1",""
55,5,2,missing_text,"אפשרות 2",""
55,6,4,missing_text,"אפשרות 4",""
55,7,1,missing_text,"אפשרות 1",""
55,8,2,missing_text,"אפשרות 2",""
55,9,2,missing_text,"אפשרות 2",""
55,10,2,missing_text,"אפשרות 2",""
61,8,,missing_option;missing_text,"",""
65,1,4,missing_text,"אפשרות 4",""
65,2,2,missing_text,"אפשרות 2",""
65,3,1,missing_text,"אפשרות 1",""
65,4,2,missing_text,"אפשרות 2",""
65,5,2,missing_text,"אפשרות 2",""
65,6,3,missing_text,"אפשרות 3",""
65,7,1,missing_text,"אפשרות 1",""
65,8,4,missing_text,"אפשרות 4",""
65,9,2,missing_text,"אפשרות 2",""
65,10,3,missing_text,"אפשרות 3",""
66,1,4,missing_text,"אפשרות 4",""
66,2,2,missing_text,"אפשרות 2",""
66,3,1,missing_text,"אפשרות 1",""
66,4,1,missing_text,"אפשרות 1",""
66,5,2,missing_text,"אפשרות 2",""
66,6,2,missing_text,"אפשרות 2",""
66,7,1,missing_text,"אפשרות 1",""
66,8,1,missing_text,"אפשרות 1",""
66,9,1,missing_text,"אפשרות 1",""
66,10,2,missing_text,"אפשרות 2",""
67,8,1,missing_text,"אפשרות 1",""
67,9,1,missing_text,"אפשרות 1",""
67,10,1,missing_text,"אפשרות 1",""
68,4,2,missing_text,"אפשרות 2",""
68,5,1,missing_text,"אפשרות 1",""
