stem,question_num,answer_num,participant_num,image_path,question_he,question_en,concept_text,full_prompt,vlm_raw_answer_en,used_fallback,fallback_prompt,vlm_cached,vlm_answer_en,vlm_answer_he,subject_answer_he,subject_word_count,similarity,similarity_percent,comparison_method,subject_answer_en,similarity_labse_he,similarity_labse_he_percent,similarity_en,similarity_en_percent,concept_sim_en,sim_above_concept_correct_scalar,sim_above_concept_correct_vec,sim_above_concept_correct_vec_both,sim_above_concept_total_scalar,sim_above_concept_total_vec,sim_above_concept_total_vec_both,bertscore_precision,bertscore_recall,bertscore_f1,vlm_model,embed_model,he_en_model,en_he_model,device,timestamp
10_1_11,10,1,11,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,False,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",השינוי ניכר לעין,3,0.5019160509109497,50.19,multilingual semantic embedding cosine similarity,The change is apparent,0.2330017387866974,23.3,0.35059013962745667,35.06,0.8214,-0.4708,0.1495,0.158,-0.4708,0.1495,0.158,0.8152,0.8814,0.847,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-04-03T09:51:08
10_1_14,10,1,14,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",אבולציה של אנשים,3,0.5730003714561462,57.3,multilingual semantic embedding cosine similarity,People's Evolution,0.1360626071691513,13.61,0.4992218017578125,49.92,0.3516,0.1476,0.412,0.4353,0.1476,0.412,0.4353,0.8007,0.8586,0.8287,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-04-03T09:52:54
10_1_16,10,1,16,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",השינוי הטבעי ההדרגתי,3,0.44875356554985046,44.88,multilingual semantic embedding cosine similarity,The gradual natural change,0.2967742085456848,29.68,0.3646544814109802,36.47,0.5838,-0.2191,0.2169,0.2292,-0.2191,0.2169,0.2292,0.8132,0.8558,0.834,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-04-03T09:53:19
10_1_21,10,1,21,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",קצב היזדקנות של בן אדם,5,0.5825486183166504,58.25,multilingual semantic embedding cosine similarity,A person's ageing rate,0.23188291490077972,23.19,0.5722258687019348,57.22,0.2165,0.3557,0.5145,0.5436,0.3557,0.5145,0.5436,0.825,0.8794,0.8514,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-04-03T09:53:47
10_1_22,10,1,22,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",כי רואים את השינוי וההתפתחות של האדם,7,0.6050173044204712,60.5,multilingual semantic embedding cosine similarity,Because one sees the change and development of the human being.,0.3510095775127411,35.1,0.5057258009910583,50.57,0.5565,-0.0507,0.3923,0.4146,-0.0507,0.3923,0.4146,0.8335,0.8959,0.8636,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-04-03T09:54:11
10_1_24,10,1,24,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",האדם הולך וגדל,3,0.5169691443443298,51.7,multilingual semantic embedding cosine similarity,The man is growing,0.23631194233894348,23.63,0.2881935238838196,28.82,0.2002,0.088,0.2281,0.2411,0.088,0.2281,0.2411,0.8071,0.869,0.8369,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-04-03T09:54:37
10_1_26,10,1,26,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",האדם מתבגר ועובר שינויים,4,0.6216126680374146,62.16,multilingual semantic embedding cosine similarity,People grow up and go through changes.,0.39046818017959595,39.05,0.5796076059341431,57.96,0.6052,-0.0256,0.4825,0.5099,-0.0256,0.4825,0.5099,0.8265,0.8824,0.8535,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-04-03T09:55:01
10_1_28,10,1,28,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",יש פה תהליך,3,0.4940745532512665,49.41,multilingual semantic embedding cosine similarity,There is a process here.,0.03855602815747261,3.86,0.30388343334198,30.39,0.4935,-0.1896,0.1661,0.1755,-0.1896,0.1661,0.1755,0.8149,0.8729,0.8429,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-04-03T09:55:26
10_1_32,10,1,32,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",כי רואים את השינוי שנעשה בילד עד הפיכתו למבוגר,9,0.586398184299469,58.64,multilingual semantic embedding cosine similarity,Because you see the change that's been made in the child until it becomes an adult.,0.43319597840309143,43.32,0.519758939743042,51.98,0.5703,-0.0505,0.4085,0.4316,-0.0505,0.4085,0.4316,0.8288,0.8601,0.8441,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-04-03T09:55:48
10_1_36,10,1,36,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",כל דור והקשיים שלו זה משתנה גם במראה,8,0.6126738786697388,61.27,multilingual semantic embedding cosine similarity,Every generation and its difficulties It also changes in appearance,0.47147825360298157,47.15,0.6288519501686096,62.89,0.5177,0.1112,0.5396,0.5701,0.1112,0.5396,0.5701,0.825,0.845,0.8348,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-04-03T09:56:13
