stem,question_num,answer_num,participant_num,image_path,question_he,question_en,full_prompt,vlm_raw_answer_en,used_fallback,fallback_prompt,vlm_answer_en,vlm_answer_he,subject_answer_he,similarity,similarity_percent,comparison_method,subject_answer_en,similarity_labse_he,similarity_labse_he_percent,similarity_en,similarity_en_percent,bertscore_precision,bertscore_recall,bertscore_f1,vlm_model,embed_model,he_en_model,en_he_model,device,timestamp
10_1_11,10,1,11,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people in a row,False,,This image shows the faces of different people in a row,תמונה זו מציגה את פניהם של אנשים שונים ברצף,השינוי ניכר לעין,0.3847208023071289,38.47,multilingual semantic embedding cosine similarity,The change is apparent,0.20969262719154358,20.97,0.203948974609375,20.39,0.8746,0.898,0.8861,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:28:29
10_1_14,10,1,14,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people in a row,False,,This image shows the faces of different people in a row,תמונה זו מציגה את פניהם של אנשים שונים ברצף,אבולציה של אנשים,0.43373751640319824,43.37,multilingual semantic embedding cosine similarity,People's Evolution,0.19518673419952393,19.52,0.30438369512557983,30.44,0.8661,0.8827,0.8743,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:28:36
10_1_21,10,1,21,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people in a row,False,,This image shows the faces of different people in a row,תמונה זו מציגה את פניהם של אנשים שונים ברצף,קצב היזדקנות של בן אדם,0.5320473909378052,53.2,multilingual semantic embedding cosine similarity,A person's ageing rate,0.1144079640507698,11.44,0.34310925006866455,34.31,0.8833,0.8909,0.887,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:28:40
10_1_22,10,1,22,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people in a row,False,,This image shows the faces of different people in a row,תמונה זו מציגה את פניהם של אנשים שונים ברצף,כי רואים את השינוי וההתפתחות של האדם,0.5093608498573303,50.94,multilingual semantic embedding cosine similarity,Because one sees the change and development of the human being.,0.3009272515773773,30.09,0.2701496481895447,27.01,0.8752,0.8843,0.8797,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:28:44
10_1_24,10,1,24,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people in a row,False,,This image shows the faces of different people in a row,תמונה זו מציגה את פניהם של אנשים שונים ברצף,האדם הולך וגדל,0.5657976865768433,56.58,multilingual semantic embedding cosine similarity,The man is growing,0.05061648041009903,5.06,0.09824451059103012,9.82,0.8669,0.8788,0.8728,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:28:48
10_1_26,10,1,26,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people in a row,False,,This image shows the faces of different people in a row,תמונה זו מציגה את פניהם של אנשים שונים ברצף,האדם מתבגר ועובר שינויים,0.5458224415779114,54.58,multilingual semantic embedding cosine similarity,People grow up and go through changes.,0.2004237174987793,20.04,0.29328933358192444,29.33,0.8718,0.8674,0.8696,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:28:52
10_1_36,10,1,36,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people in a row,False,,This image shows the faces of different people in a row,תמונה זו מציגה את פניהם של אנשים שונים ברצף,כל דור והקשיים שלו זה משתנה גם במראה,0.42135071754455566,42.14,multilingual semantic embedding cosine similarity,Every generation and its difficulties It also changes in appearance,0.17414048314094543,17.41,0.35346487164497375,35.35,0.8696,0.8413,0.8552,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:28:56
10_1_37,10,1,37,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people in a row,False,,This image shows the faces of different people in a row,תמונה זו מציגה את פניהם של אנשים שונים ברצף,אנחנו גדלים ומשתנים.,0.36930280923843384,36.93,multilingual semantic embedding cosine similarity,We grow and change.,0.09077360481023788,9.08,0.09975846111774445,9.98,0.8688,0.8854,0.877,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:29:00
10_1_49,10,1,49,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people in a row,False,,This image shows the faces of different people in a row,תמונה זו מציגה את פניהם של אנשים שונים ברצף,כי ברגע שמזדקנים אין דרך חזרה להיות צעיר,0.3742825388908386,37.43,multilingual semantic embedding cosine similarity,Because once you get old there's no going back to being young.,0.14231212437152863,14.23,0.2256939560174942,22.57,0.8692,0.8454,0.8571,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:29:04
10_1_52,10,1,52,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people in a row,False,,This image shows the faces of different people in a row,תמונה זו מציגה את פניהם של אנשים שונים ברצף,התמונה הזו ממחישה בצורה ישירה וברורה את רעיון השינוי,0.6207430362701416,62.07,multilingual semantic embedding cosine similarity,This image directly and clearly illustrates the idea of change,0.5307329297065735,53.07,0.3895125687122345,38.95,0.9084,0.9022,0.9053,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:29:08
