question_num,answer_num,image_path,question_he,question_en,concept,P1_answer,P2_answer,P3_answer,P4_answer,P5_answer,P6_answer,P7_answer,P8_answer,P9_answer,P10_answer
1,1,/home/alex/systems-thinking-vlm/dataset/images/1_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""",Work completed successfully,two military men are preparing to load a missile onto a fighter jet,Two military men are preparing to load a missile onto a fighter jet,This image shows two military men preparing to load a missile onto a fighter jet,the men are completing their work and the plane is on the runway,Two military men are preparing to load a missile onto a fighter jet,this image shows a military man loading a missile onto a jet,two men are preparing to load a bomb,Two men are preparing to load a missile onto a fighter jet,two soldiers are preparing to load a missile onto a fighter jet,Two military men are preparing to load a bomb into a fighter jet
1,2,/home/alex/systems-thinking-vlm/dataset/images/1_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""",Work completed successfully,a bulldozer and dump truck in front of a quarry,a bulldozer is driving a dump truck,This image shows a bulldozer and dump truck,the work is done successfully and the truck is parked,this image shows a bulldozer and dump truck,this image is a good example of the work completed successfully,the truck is parked in front of the dump,the bulldozer is driving away,a bulldozer is working on the construction site,a truck is driving past a dump truck
2,1,/home/alex/systems-thinking-vlm/dataset/images/2_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""ההחלטה התקבלה""","Explain why you chose this picture as reflecting the sentence ""The decision has been made""",The decision has been made,a group of people sitting around a table,a group of people are sitting around a table and talking,This image shows a group of people sitting around a table,the decision has been made and the people are happy,a group of people sitting around a table,this picture shows a group of people in a meeting,people are sitting around a table and talking,people are talking to each other in a meeting,a group of business people are having a meeting to decide on a project,a group of people are discussing a decision
2,2,/home/alex/systems-thinking-vlm/dataset/images/2_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""ההחלטה התקבלה""","Explain why you chose this picture as reflecting the sentence ""The decision has been made""",The decision has been made,a group of people are shaking hands around a table,a group of people shake hands after making a decision,This image shows a group of people clapping,the decision has been made and the people are celebrating,a group of people shake hands after making a decision,this picture shows a group of people celebrating a decision,the people are standing around a table,people are clapping and celebrating the decision,a group of people are celebrating the decision to start a new business,a group of people are celebrating a decision
3,1,/home/alex/systems-thinking-vlm/dataset/images/3_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" הילד למד שיעור חשוב  ""","Explain why you chose this picture as reflecting the sentence ""The child has learned an important lesson""",The child has learned an important lesson,a group of kids working on homework,a group of children are working on a project,This image shows a group of children working together on a project,"the child has learned a lesson, and the child is happy",a group of children are working together on a project,this picture shows a group of children working together,the child is sitting at a table with other children,the child has learned an important lesson by doing homework,The children are working on a project,a group of children are working together on a project
3,2,/home/alex/systems-thinking-vlm/dataset/images/3_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" הילד למד שיעור חשוב  ""","Explain why you chose this picture as reflecting the sentence ""The child has learned an important lesson""",The child has learned an important lesson,a mother and daughter are working on homework,a mother and daughter are working on homework,This image shows a child writing in a notebook,"the child has learned a lesson, and the mother is helping her",The image shows a mother and daughter working together on homework,this picture shows a young girl writing in her notebook,the girl is writing in her notebook and the mother is helping her,the child is learning a lesson from her mother,The mother is helping her daughter with her homework,a mother and daughter are working on homework
4,1,/home/alex/systems-thinking-vlm/dataset/images/4_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""  המערכת האקולוגית מתפקדת היטב  ""","Explain why you chose this image as reflecting the sentence ""The ecosystem is functioning well""",The ecosystem is functioning well,Two people are working on a solar panel in the field,two people are working on a solar panel in the field,This image shows a man and woman working on solar panels,the ecosystem is functioning well because there is a lot of food,The image shows two people working on a solar panel in the field,the image shows two people working on solar panels,the solar panel is in the field and the people are working on it,two people are working on solar panels in the field,Two people are working on a solar panel in the field,the solar panel is being installed on a field
4,2,/home/alex/systems-thinking-vlm/dataset/images/4_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""  המערכת האקולוגית מתפקדת היטב  ""","Explain why you chose this image as reflecting the sentence ""The ecosystem is functioning well""",The ecosystem is functioning well,a bee is pollinating blue flowers,a bee is pollinating blue flowers,This image shows a bee on a flower,bees are pollinating flowers,a bee is pollinating blue flowers,this image shows a bee on a blue flower,bees are pollinating flowers,bees are pollinating blue flowers,a bee is pollinating blue flowers,bees are pollinating flowers
5,1,/home/alex/systems-thinking-vlm/dataset/images/5_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""   מערכות דומות   "" ?","Explain why you chose this image as reflecting the sentence ""similar systems""?",similar systems,a cityscape with trees and animals,a cityscape with trees and a river,This image shows the same city and a different one,the two images show similar systems in nature,the image shows two images of a city and a river,this image shows a city and a river,the image shows a city and a forest,the two images show similar systems in nature,the two images are of a city and a forest,the two images are showing the same scene
5,2,/home/alex/systems-thinking-vlm/dataset/images/5_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""   מערכות דומות   "" ?","Explain why you chose this image as reflecting the sentence ""similar systems""?",similar systems,bees in a honey factory and a worker,a beehive and honeycombs in a laboratory,This image shows bees in a honey factory and a beehive,bees and honeybees are similar systems,the image shows a beehive and honeycombs,this image shows a beehive and honeycomb,the bees are in a factory,bees and honeycombs in a laboratory,a beehive is being built in the laboratory,bees are being hived
