,???? ????? ???????
Test 1,70.59
Test 2,65.00
Test 7,69.57
Test 8,65.22
Test 10,66.67
Test 11,70.83
Test 12,66.67
Test 13,66.67
Test 14,83.33
Test 15,72.73
Test 17,75.00
Test 18,65.00
Test 19,70.00
Test 20,70.83
Test 21,75.00
Test 22,66.67
Test 23,71.43
Test 24,75.00
Test 25,66.67
Test 26,72.73
Test 27,84.00
Test 29,66.67
Test 32,70.00
Test 35,68.00
Test 36,72.22
Test 37,68.18
Test 41,76.19
Test 42,66.67
Test 44,68.42
Test 45,84.21
Test 46,66.67
Test 48,65.22
Test 49,72.73
Test 50,72.22
Test 52,75.00
Test 53,68.00
Test 54,86.36
Test 57,78.26
Test 58,70.00
Test 59,66.67
Test 60,69.23
Test 61,73.08
Test 62,75.00
Test 63,70.83
Test 64,65.22
Test 65,80.95
Test 66,66.67
Test 68,77.78
Test 69,76.92
Test 70,72.73
